city_id,store_id,management_group_id,first_category_id,second_category_id,third_category_id,product_id,dt,sale_amount,hours_sale,stock_hour6_22_cnt,hours_stock_status,discount,holiday_flag,activity_flag,precpt,avg_temperature,avg_humidity,avg_wind_level
0,0,2,29,78,82,4,2024-03-28,0.5,"[0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0. ]",13,[1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],0.882,0,1,1.6999,15.48,73.54,1.97
0,0,2,29,78,82,4,2024-03-29,1.3,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.3 0.8
 0.  0.  0.  0.  0.  0. ]",5,[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1],0.882,0,1,3.019,15.08,76.56,1.71
0,0,2,29,78,82,4,2024-03-30,5.3,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.7 1.4 0.3 0.  0.  1.1 0.2 0.1 1.3
 0.2 0.  0.  0.  0.  0. ]",0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.882,1,1,2.0942,15.91,76.47,1.73
0,0,2,29,78,82,4,2024-03-31,4.2,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.5 0.2 0.  0.  0.3 1.2 0.3 0.6
 0.  0.  0.1 0.  0.  0. ]",0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.879,1,1,1.5618,16.13,77.4,1.76
0,0,2,29,78,82,4,2024-04-01,0.7,"[0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.2 0.
 0.  0.  0.3 0.  0.  0. ]",0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.882,0,1,3.5386,15.37,78.26,1.25
0,0,2,29,78,82,4,2024-04-02,2.3,"[0.  0.  0.  0.  0.  0.  0.  0.3 0.3 0.5 0.2 0.2 0.  0.  0.  0.  0.3 0.5
 0.  0.  0.  0.  0.  0. ]",0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.882,0,1,3.1459,15.69,76.63,2.13
0,0,2,29,78,82,4,2024-04-03,1.3,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.3 0.3 0.3 0.  0.1 0.  0.1 0.
 0.  0.  0.  0.  0.  0. ]",5,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1],0.877,0,1,1.7165,16.11,76.31,1.51
0,0,2,29,78,82,4,2024-04-04,4.7,"[0.  0.  0.  0.  0.  0.  0.  0.  0.3 0.4 0.  0.  0.5 0.3 0.2 0.4 0.7 0.9
 0.3 0.  0.  0.7 0.  0. ]",0,[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1],0.879,1,1,1.3021,16.08,74.24,1.47
0,0,2,29,78,82,4,2024-04-05,3.1,"[0.  0.  0.  0.  0.  0.  0.  0.  0.8 0.6 0.8 0.5 0.  0.  0.3 0.  0.  0.
 0.  0.  0.1 0.  0.  0. ]",1,[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1],0.876,1,1,1.909,16.24,71.99,1.46
0,0,2,29,78,82,4,2024-04-06,5.5,"[0.  0.  0.  0.  0.  0.3 0.  0.  1.1 0.9 0.6 0.  0.  0.3 0.6 0.6 0.6 0.2
 0.3 0.  0.  0.  0.  0. ]",3,[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1],0.876,1,1,2.4001,16.72,78.42,1.67
0,0,2,29,78,82,4,2024-04-07,1.5,"[0.  0.  0.  0.  0.  0.  0.  0.  0.6 0.1 0.  0.  0.3 0.  0.4 0.1 0.  0.
 0.  0.  0.  0.  0.  0. ]",6,[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1],0.877,0,1,2.0339,16.55,79.62,1.23
0,0,2,29,78,82,4,2024-04-08,1.9,"[0.  0.  0.  0.  0.  0.  0.2 0.2 0.  0.5 0.3 0.  0.3 0.  0.  0.  0.3 0.1
 0.  0.  0.  0.  0.  0. ]",0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.857,0,0,1.4163,16.21,77.21,1.23
0,0,2,29,78,82,4,2024-04-09,2.0,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.9 0.3 0.3 0.2
 0.  0.3 0.  0.  0.  0. ]",2,[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1],0.865,0,1,3.8433,17.06,77.5,1.7
0,0,2,29,78,82,4,2024-04-10,0.7,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.3 0.  0.  0.  0.  0.  0.  0.4 0.
 0.  0.  0.  0.  0.  0. ]",0,[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.816,0,1,2.2487,17.08,75.7,1.92
